"treeID","species","stems","x","y","dbh"
3,"QUDO","1",-6.1,42.3,24.7
4,"QUDO","3",-10.8,45.3,37.6
5,"QUAG","1",-2.9,32,19.5
6,"QUDO","2",-2,32,35.1
7,"QUDO","1",3.4,37.3,21.8
8,"QUDO","2",6.3,35.3,34.9
9,"QUDO","1",10.5,26.8,22.4
10,"QUDO","2",-8.7,29.2,26.6
11,"QUDO","1",3.5,31.6,18.8
12,"QUDO","1",8.7,26.1,18.6
13,"QUDO","2",-10.4,27.2,27.9
14,"QUDO","1",7.4,26.3,23.1
15,"QUDO","1",-2.5,26.3,15.3
16,"QUDO","2",0.8,27,34.4
17,"QUDO","2",-7.7,25.1,20.6
18,"QUDO","1",-11.1,24,11.5
19,"QUDO","1",-5.3,23.4,15.6
20,"QUDO","1",-5.7,23.4,34
21,"QUDO","1",-5.1,22.8,29
22,"QUDO","2",-4,20.1,23.9
23,"QUDO","1",11.2,18.3,31.3
24,"QUDO","1",4.3,7.5,36
25,"QUDO","4",-1.6,9.4,35.5
26,"QUDO","2",-8.8,7.5,40
27,"QUDO","1",-1.4,3,37
28,"QUDO","1",-3.5,2.2,33.5
29,"QUDO","1",-10.4,0.1,17.9
30,"QUDO","1",10.6,3.8,19.7
31,"QUDO","1",6.8,2.8,35.5
32,"QUDO","1",2.1,1.3,24.9
